data,hora,acessos,likes
2026-04-18,18:11,0,0
2026-04-19,04:38,18,2
2026-04-19,10:40,5,1
2026-04-19,16:42,2,0
2026-04-19,22:44,16,0
2026-04-20,04:47,0,0
2026-04-20,10:49,0,0
2026-04-20,16:51,0,0
2026-04-20,22:55,0,0
2026-04-21,04:57,2,0
2026-04-21,10:59,0,0
2026-04-21,17:02,0,0
2026-04-21,23:05,0,0
2026-04-22,05:07,0,0
2026-04-22,11:09,0,0
2026-04-22,17:12,6,0
2026-04-22,23:15,0,0
2026-04-23,05:17,0,0
2026-04-23,11:19,1,0
2026-04-23,17:22,2,0
2026-04-23,23:23,0,0
2026-04-24,05:25,0,0
2026-04-24,11:28,0,0
2026-04-24,17:30,0,0
2026-04-24,23:32,0,0
2026-04-25,05:35,0,0
2026-04-25,11:37,0,0
2026-04-25,17:41,0,0
2026-04-25,23:43,1,0
2026-04-26,05:46,0,0
2026-04-26,11:48,1,0
2026-04-26,17:50,1,0
2026-04-26,23:53,2,0
2026-04-27,05:55,0,0
2026-04-27,11:57,0,0
2026-04-27,17:59,0,0
2026-04-28,00:02,0,0
2026-04-28,06:05,0,0
2026-04-28,12:07,1,0
2026-04-29,00:48,25,0
2026-04-29,06:50,0,0
2026-04-29,12:53,3,0
2026-04-29,18:56,1,0
2026-04-30,04:46,17,0
2026-04-30,10:48,0,0
2026-04-30,22:00,7,0
2026-05-01,04:03,0,0
2026-05-01,10:05,1,0
2026-05-01,20:01,4,0
2026-05-02,02:04,1,0
2026-05-02,08:06,0,0
2026-05-02,14:08,1,0
2026-05-02,20:11,0,0
2026-05-03,02:13,2,0
2026-05-03,08:15,1,0
2026-05-03,14:17,0,0
2026-05-03,20:20,0,0
2026-05-04,02:22,1,0
2026-05-04,08:25,2,0
2026-05-04,14:28,0,0
2026-05-04,20:30,0,0
2026-05-05,07:07,0,0
2026-05-05,13:09,5,0
2026-05-05,20:36,1,0
2026-05-06,02:39,0,0
2026-05-06,08:41,0,0
2026-05-06,14:43,1,0
